Significance,Novelty,Soundness,Evaluation,Clarity,Overall,Confidence,Institution,Year
3,2,3,3,2,6,1,CMU,PhD 4th year
3,3,2,2,4,6,4,CMU,PhD 6th year or higher
3,2,4,4,4,7,3,CMU,PhD 4th year
3,3,2,2,4,7,3,Non-CMU,PhD 3rd year
3,2,3,3,4,7,1,CMU,PhD 3rd year
1,1,1,1,4,3,4,CMU,PhD 2nd year
4,4,4,3,4,8,4,CMU,PhD 2nd year
2,2,3,1,2,3,4,CMU,PhD 1st year
2,2,2,1,1,6,2,CMU,PhD 2nd year
3,2,3,2,3,6,3,CMU,PhD 4th year
3,3,4,3,4,8,3,CMU,PhD 4th year
4,2,4,3,4,7,3,CMU,PhD 1st year
2,2,2,1,2,4,3,CMU,PhD 2nd year
3,2,3,3,3,6,2,CMU,Post-PhD
3,2,3,2,3,6,4,CMU,Post-PhD
3,3,2,3,3,6,2,CMU,PhD 4th year
2,2,3,2,3,4,3,CMU,PhD 3rd year
3,3,4,3,4,7,3,Non-CMU,PhD 2nd year
3,4,2,3,3,7,3,CMU,PhD 1st year
4,3,4,3,4,8,3,CMU,PhD 5th year
3,3,2,2,3,7,4,CMU,PhD 2nd year
4,3,2,4,4,8,4,CMU,PhD 4th year
3,2,3,2,4,6,3,CMU,PhD 3rd year
2,3,3,3,4,6,3,Non-CMU,PhD 6th year or higher
3,2,3,1,3,4,2,Non-CMU,PhD 4th year
2,2,3,1,2,2,4,Non-CMU,PhD 4th year
2,1,2,3,4,4,2,Non-CMU,Post-PhD
3,2,3,3,3,6,4,Non-CMU,PhD 3rd year
4,3,4,3,3,8,4,Non-CMU,PhD 5th year
1,2,2,1,2,5,2,Non-CMU,PhD 4th year
3,3,2,2,3,5,3,CMU,PhD 3rd year
3,2,4,2,4,6,3,CMU,PhD 1st year
3,3,3,2,3,6,2,CMU,PhD 3rd year
3,2,3,3,3,7,3,Non-CMU,PhD 2nd year
3,3,3,3,4,7,3,Non-CMU,PhD 5th year
3,2,3,3,3,7,2,CMU,PhD 5th year
3,3,4,3,3,6,3,CMU,PhD 1st year
2,2,2,2,3,3,4,Non-CMU,PhD 4th year
3,2,2,2,4,7,2,CMU,PhD 4th year
1,2,2,1,3,3,2,CMU,PhD 4th year
4,3,3,3,4,7,4,CMU,PhD 3rd year
3,2,4,4,4,8,4,CMU,PhD 3rd year
3,2,2,1,3,4,4,CMU,Post-PhD
3,3,4,2,3,6,4,CMU,PhD 2nd year
3,3,3,4,3,7,3,CMU,PhD 2nd year
3,2,3,3,3,6,3,CMU,PhD 5th year
3,3,2,2,4,8,3,CMU,PhD 1st year
2,3,1,2,3,4,3,CMU,PhD 1st year
3,3,2,2,3,6,2,CMU,Post-PhD
1,3,2,2,4,3,4,CMU,PhD 1st year
3,3,2,2,4,7,3,CMU,PhD 5th year
2,3,2,2,3,4,3,CMU,PhD 4th year
3,2,4,4,4,8,4,CMU,PhD 5th year
3,3,2,2,4,6,3,CMU,PhD 4th year
